DEPTH,RHOB,spike,flat_line,cycle_skip,washed_out,impossible_value,flag_count,severity,well_name
320.25,0.32053772,False,False,False,True,True,2,RED,F02-1
320.4,0.32069612,False,False,False,True,True,2,RED,F02-1
320.54998779,0.32085404,False,False,False,True,True,2,RED,F02-1
320.7,0.32101098,False,False,False,True,True,2,RED,F02-1
320.85,0.32116756,False,False,False,True,True,2,RED,F02-1
321.0,0.321325,False,False,False,True,True,2,RED,F02-1
321.15,0.32148337,False,False,False,True,True,2,RED,F02-1
321.3,0.32164311,False,False,False,True,True,2,RED,F02-1
321.45001221,0.32180369,False,False,False,True,True,2,RED,F02-1
321.6,0.32196361,False,False,False,True,True,2,RED,F02-1
321.75,0.32212234,False,False,False,True,True,2,RED,F02-1
321.9,0.32227957,False,False,False,True,True,2,RED,F02-1
322.04998779,0.32243463,False,False,False,True,True,2,RED,F02-1
322.2,0.32258746,False,False,False,True,True,2,RED,F02-1
322.35,0.32273927,False,False,False,True,True,2,RED,F02-1
322.5,0.32289183,False,False,False,True,True,2,RED,F02-1
322.65,0.32304561,False,False,False,True,True,2,RED,F02-1
322.8,0.32320094,False,False,False,True,True,2,RED,F02-1
322.95001221,0.3233583,False,False,False,True,True,2,RED,F02-1
323.1,0.32351679,False,False,False,True,True,2,RED,F02-1
323.25,0.32367578,False,False,False,True,True,2,RED,F02-1
323.4,0.32383469,False,False,False,True,True,2,RED,F02-1
323.54998779,0.32399267,False,False,False,True,True,2,RED,F02-1
323.7,0.32414907,False,False,False,True,True,2,RED,F02-1
323.85,0.32430646,False,False,False,True,True,2,RED,F02-1
324.0,0.32446358,False,False,False,True,True,2,RED,F02-1
324.15,0.32462135,False,False,False,True,True,2,RED,F02-1
324.3,0.32477883,False,False,False,True,True,2,RED,F02-1
324.45001221,0.32493564,False,False,False,True,True,2,RED,F02-1
324.6,0.325091,False,False,False,True,True,2,RED,F02-1
324.75,0.32524529,False,False,False,True,True,2,RED,F02-1
324.9,0.32539961,False,False,False,True,True,2,RED,F02-1
325.04998779,0.32555488,False,False,False,True,True,2,RED,F02-1
325.2,0.32571191,False,False,False,True,True,2,RED,F02-1
325.35,0.32587001,False,False,False,True,True,2,RED,F02-1
325.5,0.32602784,False,False,False,True,True,2,RED,F02-1
325.65,0.32618386,False,False,False,True,True,2,RED,F02-1
325.8,0.32633623,False,False,False,True,True,2,RED,F02-1
325.95001221,0.32648686,False,False,False,True,True,2,RED,F02-1
326.1,0.32663909,False,False,False,True,True,2,RED,F02-1
326.25,0.32679442,False,False,False,True,True,2,RED,F02-1
326.4,0.3269529,False,False,False,True,True,2,RED,F02-1
326.54998779,0.32711324,False,False,False,True,True,2,RED,F02-1
326.7,0.32727504,False,False,False,True,True,2,RED,F02-1
326.85,0.327438,False,False,False,True,True,2,RED,F02-1
327.0,0.32760105,False,False,False,True,True,2,RED,F02-1
327.15,0.32776296,False,False,False,True,True,2,RED,F02-1
327.3,0.32792339,False,False,False,True,True,2,RED,F02-1
327.45001221,0.3280825,False,False,False,True,True,2,RED,F02-1
327.6,0.32824239,False,False,False,True,True,2,RED,F02-1
327.75,0.32840481,False,False,False,True,True,2,RED,F02-1
327.9,0.32856789,False,False,False,True,True,2,RED,F02-1
328.04998779,0.32873031,False,False,False,True,True,2,RED,F02-1
328.2,0.32889214,False,False,False,True,True,2,RED,F02-1
328.35,0.32905361,False,False,False,True,True,2,RED,F02-1
328.5,0.32921451,False,False,False,True,True,2,RED,F02-1
328.65,0.32937515,False,False,False,True,True,2,RED,F02-1
328.8,0.32953608,False,False,False,True,True,2,RED,F02-1
328.95001221,0.32969752,False,False,False,True,True,2,RED,F02-1
329.1,0.32985988,False,False,False,True,True,2,RED,F02-1
329.25,0.33002394,False,False,False,True,True,2,RED,F02-1
329.4,0.33018872,False,False,False,True,True,2,RED,F02-1
329.54998779,0.33035317,False,False,False,True,True,2,RED,F02-1
329.7,0.33051768,False,False,False,True,True,2,RED,F02-1
329.85,0.33068177,False,False,False,True,True,2,RED,F02-1
330.0,0.33084542,False,False,False,True,True,2,RED,F02-1
330.15,0.33100829,False,False,False,True,True,2,RED,F02-1
330.3,0.33116937,False,False,False,True,True,2,RED,F02-1
330.45001221,0.33132881,False,False,False,True,True,2,RED,F02-1
330.6,0.33148834,False,False,False,True,True,2,RED,F02-1
330.75,0.33164892,False,False,False,True,True,2,RED,F02-1
330.9,0.3318103,False,False,False,True,True,2,RED,F02-1
331.04998779,0.33197138,False,False,False,True,True,2,RED,F02-1
331.2,0.33213139,False,False,False,True,True,2,RED,F02-1
331.35,0.3322897,False,False,False,True,True,2,RED,F02-1
331.5,0.33244774,False,False,False,True,True,2,RED,F02-1
331.65,0.33260584,False,False,False,True,True,2,RED,F02-1
331.8,0.33276147,False,False,False,True,True,2,RED,F02-1
331.95001221,0.33291754,False,False,False,True,True,2,RED,F02-1
332.1,0.33307481,False,False,False,True,True,2,RED,F02-1
332.25,0.33323261,False,False,False,True,True,2,RED,F02-1
332.4,0.33339179,False,False,False,True,True,2,RED,F02-1
332.54998779,0.33355382,False,False,False,True,True,2,RED,F02-1
332.7,0.33371836,False,False,False,True,True,2,RED,F02-1
332.85,0.33388153,False,False,False,True,True,2,RED,F02-1
333.0,0.33404291,False,False,False,True,True,2,RED,F02-1
333.15,0.33420217,False,False,False,True,True,2,RED,F02-1
333.3,0.33435944,False,False,False,True,True,2,RED,F02-1
333.45001221,0.33451718,False,False,False,True,True,2,RED,F02-1
333.6,0.33467692,False,False,False,True,True,2,RED,F02-1
333.75,0.33483884,False,False,False,True,True,2,RED,F02-1
333.9,0.335,False,False,False,True,True,2,RED,F02-1
334.04998779,0.33515763,False,False,False,True,True,2,RED,F02-1
334.2,0.33531785,False,False,False,True,True,2,RED,F02-1
334.35,0.33547956,False,False,False,True,True,2,RED,F02-1
334.5,0.33564392,False,False,False,True,True,2,RED,F02-1
334.65,0.33580807,False,False,False,True,True,2,RED,F02-1
334.8,0.33597094,False,False,False,True,True,2,RED,F02-1
334.95001221,0.33613217,False,False,False,True,True,2,RED,F02-1
335.1,0.33629063,False,False,False,True,True,2,RED,F02-1
335.25,0.33644694,False,False,False,True,True,2,RED,F02-1
335.4,0.33660311,False,False,False,True,True,2,RED,F02-1
335.54998779,0.33675998,False,False,False,True,True,2,RED,F02-1
335.7,0.33692089,False,False,False,True,True,2,RED,F02-1
335.85,0.33708012,False,False,False,True,True,2,RED,F02-1
336.0,0.33723709,False,False,False,True,True,2,RED,F02-1
336.15,0.3373909,False,False,False,True,True,2,RED,F02-1
336.3,0.33754444,False,False,False,True,True,2,RED,F02-1
336.45001221,0.33769906,False,False,False,True,True,2,RED,F02-1
336.6,0.33785635,False,False,False,True,True,2,RED,F02-1
336.75,0.33801666,False,False,False,True,True,2,RED,F02-1
336.9,0.33817735,False,False,False,True,True,2,RED,F02-1
337.04998779,0.3383362,False,False,False,True,True,2,RED,F02-1
337.2,0.33849308,False,False,False,True,True,2,RED,F02-1
337.35,0.33864933,False,False,False,True,True,2,RED,F02-1
337.5,0.33880597,False,False,False,True,True,2,RED,F02-1
337.65,0.33896372,False,False,False,True,True,2,RED,F02-1
337.8,0.33912176,False,False,False,True,True,2,RED,F02-1
337.95001221,0.33927816,False,False,False,True,True,2,RED,F02-1
338.1,0.33943349,False,False,False,True,True,2,RED,F02-1
338.25,0.33958924,False,False,False,True,True,2,RED,F02-1
338.4,0.33974731,False,False,False,True,True,2,RED,F02-1
338.54998779,0.33990821,False,False,False,True,True,2,RED,F02-1
338.7,0.34007099,False,False,False,True,True,2,RED,F02-1
338.85,0.3402338,False,False,False,True,True,2,RED,F02-1
339.0,0.34039453,False,False,False,True,True,2,RED,F02-1
339.15,0.34055355,False,False,False,True,True,2,RED,F02-1
339.3,0.34071267,False,False,False,True,True,2,RED,F02-1
339.45001221,0.34087339,False,False,False,True,True,2,RED,F02-1
339.6,0.34103656,False,False,False,True,True,2,RED,F02-1
339.75,0.34120134,False,False,False,True,True,2,RED,F02-1
339.9,0.3413665,False,False,False,True,True,2,RED,F02-1
340.04998779,0.34153306,False,False,False,True,True,2,RED,F02-1
340.2,0.34170184,False,False,False,True,True,2,RED,F02-1
340.35,0.34187341,False,False,False,True,True,2,RED,F02-1
340.5,0.34204739,False,False,False,True,True,2,RED,F02-1
340.65,0.34222126,False,False,False,True,True,2,RED,F02-1
340.8,0.34239104,False,False,False,True,True,2,RED,F02-1
340.95001221,0.342556,False,False,False,True,True,2,RED,F02-1
341.1,0.34271666,False,False,False,True,True,2,RED,F02-1
341.25,0.3428742,False,False,False,True,True,2,RED,F02-1
341.4,0.34303236,False,False,False,True,True,2,RED,F02-1
341.54998779,0.34319034,False,False,False,True,True,2,RED,F02-1
341.7,0.34334841,False,False,False,True,True,2,RED,F02-1
341.85,0.34350732,False,False,False,True,True,2,RED,F02-1
342.0,0.34366569,False,False,False,True,True,2,RED,F02-1
342.15,0.34382415,False,False,False,True,True,2,RED,F02-1
342.3,0.34398305,False,False,False,True,True,2,RED,F02-1
342.45001221,0.34414294,False,False,False,True,True,2,RED,F02-1
342.6,0.34430426,False,False,False,True,True,2,RED,F02-1
342.75,0.34446785,False,False,False,True,True,2,RED,F02-1
342.9,0.34463364,False,False,False,True,True,2,RED,F02-1
343.04998779,0.34479839,False,False,False,True,True,2,RED,F02-1
343.2,0.34496081,False,False,False,True,True,2,RED,F02-1
343.35,0.34512034,False,False,False,True,True,2,RED,F02-1
343.5,0.34527746,False,False,False,True,True,2,RED,F02-1
343.65,0.34543502,False,False,False,True,True,2,RED,F02-1
343.8,0.34559485,False,False,False,True,True,2,RED,F02-1
343.95001221,0.34575602,False,False,False,True,True,2,RED,F02-1
344.1,0.34591803,False,False,False,True,True,2,RED,F02-1
344.25,0.34607956,False,False,False,True,True,2,RED,F02-1
344.4,0.34623894,False,False,False,True,True,2,RED,F02-1
344.54998779,0.34639761,False,False,False,True,True,2,RED,F02-1
344.7,0.34655532,False,False,False,True,True,2,RED,F02-1
344.85,0.34671304,False,False,False,True,True,2,RED,F02-1
345.0,0.34687215,False,False,False,True,True,2,RED,F02-1
345.15,0.3470313,False,False,False,True,True,2,RED,F02-1
345.3,0.34718993,False,False,False,True,True,2,RED,F02-1
345.45001221,0.34734794,False,False,False,True,True,2,RED,F02-1
345.6,0.34750545,False,False,False,True,True,2,RED,F02-1
345.75,0.34766254,False,False,False,True,True,2,RED,F02-1
345.9,0.34781894,False,False,False,True,True,2,RED,F02-1
346.04998779,0.34797433,False,False,False,True,True,2,RED,F02-1
346.2,0.34812966,False,False,False,True,True,2,RED,F02-1
346.35,0.34828591,False,False,False,True,True,2,RED,F02-1
346.5,0.34844229,False,False,False,True,True,2,RED,F02-1
346.65,0.34859806,False,False,False,True,True,2,RED,F02-1
346.8,0.34875229,False,False,False,True,True,2,RED,F02-1
346.95001221,0.34890422,False,False,False,True,True,2,RED,F02-1
347.1,0.34905523,False,False,False,True,True,2,RED,F02-1
347.25,0.34920752,False,False,False,True,True,2,RED,F02-1
347.4,0.34936243,False,False,False,True,True,2,RED,F02-1
347.54998779,0.34951928,False,False,False,True,True,2,RED,F02-1
347.7,0.34967673,False,False,False,True,True,2,RED,F02-1
347.85,0.34983292,False,False,False,True,True,2,RED,F02-1
348.0,0.34998721,False,False,False,True,True,2,RED,F02-1
348.15,0.35014096,False,False,False,True,True,2,RED,F02-1
348.3,0.35029513,False,False,False,True,True,2,RED,F02-1
348.45001221,0.35045007,False,False,False,True,True,2,RED,F02-1
348.6,0.35060614,False,False,False,True,True,2,RED,F02-1
348.75,0.35076284,False,False,False,True,True,2,RED,F02-1
348.9,0.3509194,False,False,False,True,True,2,RED,F02-1
349.04998779,0.3510755,False,False,False,True,True,2,RED,F02-1
349.2,0.35123074,False,False,False,True,True,2,RED,F02-1
349.35,0.35138527,False,False,False,False,True,1,YELLOW,F02-1
349.5,0.35154006,False,False,False,False,True,1,YELLOW,F02-1
349.65,0.3516953,False,False,False,False,True,1,YELLOW,F02-1
349.8,0.35185039,False,False,False,False,True,1,YELLOW,F02-1
349.95001221,0.35200498,False,False,False,False,True,1,YELLOW,F02-1
350.1,0.35215858,False,False,False,False,True,1,YELLOW,F02-1
350.25,0.35231197,False,False,False,False,True,1,YELLOW,F02-1
350.4,0.35246575,False,False,False,False,True,1,YELLOW,F02-1
350.54998779,0.35261992,False,False,False,False,True,1,YELLOW,F02-1
350.7,0.35277393,False,False,False,False,True,1,YELLOW,F02-1
350.85,0.3529284,False,False,False,False,True,1,YELLOW,F02-1
351.0,0.35308415,False,False,False,False,True,1,YELLOW,F02-1
351.15,0.35324058,False,False,False,False,True,1,YELLOW,F02-1
351.3,0.35339761,False,False,False,False,True,1,YELLOW,F02-1
351.45001221,0.3535552,False,False,False,False,True,1,YELLOW,F02-1
351.6,0.35371187,False,False,False,False,True,1,YELLOW,F02-1
351.75,0.35386917,False,False,False,False,True,1,YELLOW,F02-1
351.9,0.35402524,False,False,False,False,True,1,YELLOW,F02-1
352.04998779,0.35417944,False,False,False,False,True,1,YELLOW,F02-1
352.2,0.35433114,False,False,False,False,True,1,YELLOW,F02-1
352.35,0.35448021,False,False,False,False,True,1,YELLOW,F02-1
352.5,0.35463011,False,False,False,False,True,1,YELLOW,F02-1
352.65,0.35477909,False,False,False,False,True,1,YELLOW,F02-1
352.8,0.35492548,False,False,False,False,True,1,YELLOW,F02-1
352.95001221,0.35507238,False,False,False,False,True,1,YELLOW,F02-1
353.1,0.35521623,False,False,False,False,True,1,YELLOW,F02-1
353.25,0.35536087,False,False,False,False,True,1,YELLOW,F02-1
353.4,0.35550487,False,False,False,False,True,1,YELLOW,F02-1
353.54998779,0.35564762,False,False,False,False,True,1,YELLOW,F02-1
353.7,0.35578793,False,False,False,False,True,1,YELLOW,F02-1
353.85,0.35592696,False,False,False,False,True,1,YELLOW,F02-1
354.0,0.35606453,False,False,False,False,True,1,YELLOW,F02-1
354.15,0.35620284,False,False,False,False,True,1,YELLOW,F02-1
354.3,0.35634297,False,False,False,False,True,1,YELLOW,F02-1
354.45001221,0.35648477,False,False,False,False,True,1,YELLOW,F02-1
354.6,0.35662547,False,False,False,False,True,1,YELLOW,F02-1
354.75,0.3567628,False,False,False,False,True,1,YELLOW,F02-1
354.9,0.35689944,False,False,False,False,True,1,YELLOW,F02-1
355.04998779,0.35703716,False,False,False,False,True,1,YELLOW,F02-1
355.2,0.35717663,False,False,False,False,True,1,YELLOW,F02-1
355.35,0.35731956,False,False,False,False,True,1,YELLOW,F02-1
355.5,0.35746464,False,False,False,False,True,1,YELLOW,F02-1
355.65,0.35761037,False,False,False,False,True,1,YELLOW,F02-1
355.8,0.35775656,False,False,False,False,True,1,YELLOW,F02-1
355.95001221,0.35790211,False,False,False,False,True,1,YELLOW,F02-1
356.1,0.35804647,False,False,False,False,True,1,YELLOW,F02-1
356.25,0.35819,False,False,False,False,True,1,YELLOW,F02-1
356.4,0.35833272,False,False,False,False,True,1,YELLOW,F02-1
356.54998779,0.35847518,False,False,False,False,True,1,YELLOW,F02-1
356.7,0.35861835,False,False,False,False,True,1,YELLOW,F02-1
356.85,0.35876253,False,False,False,False,True,1,YELLOW,F02-1
357.0,0.35890797,False,False,False,False,True,1,YELLOW,F02-1
357.15,0.35905391,False,False,False,False,True,1,YELLOW,F02-1
357.3,0.35919923,False,False,False,False,True,1,YELLOW,F02-1
357.45001221,0.35934281,False,False,False,False,True,1,YELLOW,F02-1
357.6,0.35948473,False,False,False,False,True,1,YELLOW,F02-1
357.75,0.35962698,False,False,False,False,True,1,YELLOW,F02-1
357.9,0.3597706,False,False,False,False,True,1,YELLOW,F02-1
358.04998779,0.35991576,False,False,False,False,True,1,YELLOW,F02-1
358.2,0.36006209,False,False,False,False,True,1,YELLOW,F02-1
358.35,0.36020878,False,False,False,False,True,1,YELLOW,F02-1
358.5,0.36035591,False,False,False,False,True,1,YELLOW,F02-1
358.65,0.36050311,False,False,False,False,True,1,YELLOW,F02-1
358.8,0.36064979,False,False,False,False,True,1,YELLOW,F02-1
358.95001221,0.3607958,False,False,False,False,True,1,YELLOW,F02-1
359.1,0.36094123,False,False,False,False,True,1,YELLOW,F02-1
